"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5874","TC-37 Verify pencil icon opens Edit Profile page","firefox","2026-09-26","passed","2026-09-26","Edit Profile page","tc-37-successful-opening-edit-profile-page.spec.ts","",""
"","4444","TC-4 Verify successful user login with valid credentials","chromium","2026-09-26","passed","2026-09-26","User Authentication","tc-4-successful-user-login.spec.ts","",""
"","6359","TC-3 Verify successful user registration with valid credentials","webkit","2026-09-26","passed","2026-09-26","User Registration","tc-3-successful-user-registration.spec.ts","",""
"","3403","TC-4 Verify successful user login with valid credentials","firefox","2026-09-26","passed","2026-09-26","User Authentication","tc-4-successful-user-login.spec.ts","",""
"","9224","TC-37 Verify pencil icon opens Edit Profile page","webkit","2026-09-26","passed","2026-09-26","Edit Profile page","tc-37-successful-opening-edit-profile-page.spec.ts","",""
"","2399","clicks the start forming button","firefox","2026-09-26","passed","2026-09-26","","example.spec.ts","",""
"","3534","has title","chromium","2026-09-26","passed","2026-09-26","","example.spec.ts","",""
"","2757","clicks the start forming button","chromium","2026-09-26","passed","2026-09-26","","example.spec.ts","",""
"","3909","has title","firefox","2026-09-26","passed","2026-09-26","","example.spec.ts","",""
"","8407","has title","webkit","2026-09-26","passed","2026-09-26","","example.spec.ts","",""
"","6001","TC-37 Verify pencil icon opens Edit Profile page","chromium","2026-09-26","passed","2026-09-26","Edit Profile page","tc-37-successful-opening-edit-profile-page.spec.ts","",""
"","3478","TC-3 Verify successful user registration with valid credentials","firefox","2026-09-26","passed","2026-09-26","User Registration","tc-3-successful-user-registration.spec.ts","",""
"","3680","clicks the start forming button","webkit","2026-09-26","passed","2026-09-26","","example.spec.ts","",""
"","5522","TC-4 Verify successful user login with valid credentials","webkit","2026-09-26","passed","2026-09-26","User Authentication","tc-4-successful-user-login.spec.ts","",""
"","4731","TC-3 Verify successful user registration with valid credentials","chromium","2026-09-26","passed","2026-09-26","User Registration","tc-3-successful-user-registration.spec.ts","",""
